p,r,f,k
0.5,0.42857142857142855,0.4615384615384615,6
0.35294117647058826,0.35294117647058826,0.35294117647058826,6
0.32,0.25806451612903225,0.2857142857142857,6
0.5263157894736842,0.5714285714285714,0.547945205479452,6
0.4642857142857143,0.37142857142857144,0.41269841269841273,6
0.4642857142857143,0.35135135135135137,0.39999999999999997,6
0.5,0.36363636363636365,0.4210526315789474,6
0.3684210526315789,0.4666666666666667,0.4117647058823529,6
0.45454545454545453,0.4411764705882353,0.4477611940298507,6
0.5135135135135135,0.59375,0.5507246376811593,6
0.4,0.36363636363636365,0.380952380952381,6
0.41379310344827586,0.3157894736842105,0.3582089552238805,6
0.45161290322580644,0.4,0.4242424242424243,6
0.36363636363636365,0.27586206896551724,0.3137254901960784,6
0.3333333333333333,0.28125,0.3050847457627119,6
0.45714285714285713,0.3902439024390244,0.42105263157894735,6
0.4166666666666667,0.3333333333333333,0.3703703703703704,6
0.3225806451612903,0.3125,0.3174603174603175,6
0.3783783783783784,0.4827586206896552,0.42424242424242425,6
0.5357142857142857,0.4166666666666667,0.46875000000000006,6
0.4857142857142857,0.53125,0.5074626865671641,6
0.5128205128205128,0.5128205128205128,0.5128205128205128,6
0.32,0.23529411764705882,0.2711864406779661,6
0.4857142857142857,0.425,0.45333333333333337,6
0.46153846153846156,0.375,0.41379310344827586,6
0.4,0.3333333333333333,0.3636363636363636,6
0.40625,0.40625,0.40625,6
0.4594594594594595,0.4722222222222222,0.4657534246575342,6
0.5625,0.47368421052631576,0.5142857142857142,6
0.3225806451612903,0.2857142857142857,0.303030303030303,6
0.48484848484848486,0.42105263157894735,0.4507042253521127,6
0.5,0.34285714285714286,0.4067796610169492,6
0.5333333333333333,0.48484848484848486,0.507936507936508,6
0.42857142857142855,0.40540540540540543,0.4166666666666667,6
0.38461538461538464,0.2857142857142857,0.32786885245901637,6
0.47058823529411764,0.47058823529411764,0.47058823529411764,7
0.37142857142857144,0.43333333333333335,0.4,7
0.5217391304347826,0.6153846153846154,0.5647058823529412,7
0.3235294117647059,0.3793103448275862,0.3492063492063492,7
0.5208333333333334,0.6578947368421053,0.5813953488372092,7
0.4791666666666667,0.5609756097560976,0.5168539325842697,7
0.41304347826086957,0.5588235294117647,0.475,7
0.39473684210526316,0.45454545454545453,0.4225352112676056,7
0.4090909090909091,0.5625,0.47368421052631576,7
0.48148148148148145,0.65,0.553191489361702,7
0.42857142857142855,0.4864864864864865,0.4556962025316456,7
0.375,0.5806451612903226,0.4556962025316456,7
0.41304347826086957,0.6129032258064516,0.49350649350649356,7
0.525,0.6363636363636364,0.5753424657534246,7
0.4897959183673469,0.6857142857142857,0.5714285714285715,7
0.3055555555555556,0.3793103448275862,0.3384615384615385,7
0.5777777777777777,0.6341463414634146,0.6046511627906976,7
0.5227272727272727,0.6571428571428571,0.5822784810126581,7
0.275,0.36666666666666664,0.3142857142857143,7
0.5961538461538461,0.7380952380952381,0.6595744680851063,7
0.4583333333333333,0.5945945945945946,0.5176470588235293,7
0.5106382978723404,0.6153846153846154,0.558139534883721,7
0.37209302325581395,0.4444444444444444,0.40506329113924044,7
0.5,0.6875,0.5789473684210527,7
0.46808510638297873,0.6875,0.5569620253164557,7
0.3953488372093023,0.5,0.44155844155844154,7
0.42857142857142855,0.4864864864864865,0.4556962025316456,7
0.44,0.5945945945945946,0.5057471264367815,7
0.46511627906976744,0.6060606060606061,0.5263157894736842,7
0.4666666666666667,0.7241379310344828,0.5675675675675675,7
0.4375,0.6176470588235294,0.5121951219512195,7
0.3953488372093023,0.4857142857142857,0.43589743589743585,7
0.4888888888888889,0.5789473684210527,0.5301204819277109,7
0.4186046511627907,0.5806451612903226,0.4864864864864865,7
0.5,0.5675675675675675,0.5316455696202531,7
0.55,0.55,0.55,7
0.3409090909090909,0.45454545454545453,0.3896103896103896,7
0.4523809523809524,0.6129032258064516,0.5205479452054794,7
0.5277777777777778,0.59375,0.5588235294117648,7
0.45454545454545453,0.5405405405405406,0.49382716049382713,7
0.44680851063829785,0.7241379310344828,0.5526315789473684,7
0.37209302325581395,0.5517241379310345,0.4444444444444444,7
0.4166666666666667,0.5714285714285714,0.48192771084337344,7
0.37209302325581395,0.47058823529411764,0.4155844155844156,7
0.4666666666666667,0.5526315789473685,0.5060240963855421,7
0.3170731707317073,0.41935483870967744,0.3611111111111111,7
0.3953488372093023,0.4857142857142857,0.43589743589743585,7
0.39473684210526316,0.4411764705882353,0.41666666666666663,7
0.48936170212765956,0.5897435897435898,0.5348837209302325,7
0.46511627906976744,0.5555555555555556,0.5063291139240507,7
0.3333333333333333,0.3333333333333333,0.3333333333333333,7
0.4523809523809524,0.5757575757575758,0.5066666666666667,7
0.27906976744186046,0.42857142857142855,0.3380281690140845,7
0.41304347826086957,0.5757575757575758,0.48101265822784817,7
0.4375,0.5185185185185185,0.47457627118644063,7
0.6511627906976745,0.7,0.674698795180723,7
